  13317 EMTuckerLabUMMZ/ummzi	   5174 EMTuckerLabUMMZ/ummzi	   8143 EMTuckerLabUMMZ/ummzi
  22777 globalbioticinteractions/bpbm-ent	      9 globalbioticinteractions/bpbm-ent	  22768 globalbioticinteractions/bpbm-ent
   1340 globalbioticinteractions/byu-byuc	    381 globalbioticinteractions/byu-byuc	    959 globalbioticinteractions/byu-byuc
   3364 globalbioticinteractions/cas-ent	     40 globalbioticinteractions/cas-ent	   3324 globalbioticinteractions/cas-ent
     27 globalbioticinteractions/cu-cuac	    212 globalbioticinteractions/dmns-para	     27 globalbioticinteractions/cu-cuac
    333 globalbioticinteractions/dmns-para	   1278 globalbioticinteractions/fmnh	    121 globalbioticinteractions/dmns-para
  51164 globalbioticinteractions/fmnh	    245 globalbioticinteractions/inhs-insects	  49886 globalbioticinteractions/fmnh
   2726 globalbioticinteractions/inhs-insects	    306 globalbioticinteractions/min-umsp	   2481 globalbioticinteractions/inhs-insects
    733 globalbioticinteractions/min-umsp	    776 globalbioticinteractions/msb-para	    427 globalbioticinteractions/min-umsp
    535 globalbioticinteractions/mpm	    230 globalbioticinteractions/msu-msuc	    535 globalbioticinteractions/mpm
   2593 globalbioticinteractions/msb-para	    145 globalbioticinteractions/psuc-ento	   1817 globalbioticinteractions/msb-para
   2975 globalbioticinteractions/msu-msuc	    452 globalbioticinteractions/pu-perc	   2745 globalbioticinteractions/msu-msuc
   2661 globalbioticinteractions/psuc-ento	     69 globalbioticinteractions/tamuic-ent	   2516 globalbioticinteractions/psuc-ento
   1305 globalbioticinteractions/pu-perc	      5 globalbioticinteractions/ucsb-izc	    853 globalbioticinteractions/pu-perc
   3078 globalbioticinteractions/tamuic-ent	     10 globalbioticinteractions/uhim	   3009 globalbioticinteractions/tamuic-ent
    743 globalbioticinteractions/ucsb-izc	      1 globalbioticinteractions/unhc	    738 globalbioticinteractions/ucsb-izc
   5482 globalbioticinteractions/uhim	   2536 globalbioticinteractions/unl-nsm	   5472 globalbioticinteractions/uhim
    351 globalbioticinteractions/unhc	    140 globalbioticinteractions/usnmentflea	    350 globalbioticinteractions/unhc
  12679 globalbioticinteractions/unl-nsm	   1166 globalbioticinteractions/usnm-ixodes	  10143 globalbioticinteractions/unl-nsm
    165 globalbioticinteractions/usnmentflea	   2913 globalbioticinteractions/utah-piper	     25 globalbioticinteractions/usnmentflea
   2735 globalbioticinteractions/usnm-ixodes	     98 globalbioticinteractions/uwsp-para	   1569 globalbioticinteractions/usnm-ixodes
   6087 globalbioticinteractions/utah-piper	      3 globalbioticinteractions/vectorbase	   3174 globalbioticinteractions/utah-piper
    650 globalbioticinteractions/uwsp-para	     13 globalbioticinteractions/wis-ih-wirc	    552 globalbioticinteractions/uwsp-para
    163 globalbioticinteractions/vectorbase	    203 globalbioticinteractions/yale-peabody	    160 globalbioticinteractions/vectorbase
    607 globalbioticinteractions/wis-ih-wirc		    594 globalbioticinteractions/wis-ih-wirc
 143385 globalbioticinteractions/yale-peabody		 143182 globalbioticinteractions/yale-peabody
