	total			hits			miss	
	13320	EMTuckerLabUMMZ/ummzi		4998	EMTuckerLabUMMZ/ummzi		8322	EMTuckerLabUMMZ/ummzi
	22816	globalbioticinteractions/bpbm-ent		3	globalbioticinteractions/bpbm-ent		22813	globalbioticinteractions/bpbm-ent
	1346	globalbioticinteractions/byu-byuc		291	globalbioticinteractions/byu-byuc		1055	globalbioticinteractions/byu-byuc
	3368	globalbioticinteractions/cas-ent		35	globalbioticinteractions/cas-ent		3333	globalbioticinteractions/cas-ent
	29	globalbioticinteractions/cu-cuac					29	globalbioticinteractions/cu-cuac
	549	globalbioticinteractions/dmns-para		196	globalbioticinteractions/dmns-para		353	globalbioticinteractions/dmns-para
	51169	globalbioticinteractions/fmnh		848	globalbioticinteractions/fmnh		50321	globalbioticinteractions/fmnh
	2676	globalbioticinteractions/inhs-insects		28	globalbioticinteractions/inhs-insects		2648	globalbioticinteractions/inhs-insects
	735	globalbioticinteractions/min-umsp		295	globalbioticinteractions/min-umsp		440	globalbioticinteractions/min-umsp
	536	globalbioticinteractions/mpm					536	globalbioticinteractions/mpm
	2605	globalbioticinteractions/msb-para		742	globalbioticinteractions/msb-para		1863	globalbioticinteractions/msb-para
	2983	globalbioticinteractions/msu-msuc		211	globalbioticinteractions/msu-msuc		2772	globalbioticinteractions/msu-msuc
	2666	globalbioticinteractions/psuc-ento		130	globalbioticinteractions/psuc-ento		2536	globalbioticinteractions/psuc-ento
	1305	globalbioticinteractions/pu-perc		450	globalbioticinteractions/pu-perc		855	globalbioticinteractions/pu-perc
	3088	globalbioticinteractions/tamuic-ent		68	globalbioticinteractions/tamuic-ent		3020	globalbioticinteractions/tamuic-ent
	745	globalbioticinteractions/ucsb-izc		5	globalbioticinteractions/ucsb-izc		740	globalbioticinteractions/ucsb-izc
	5496	globalbioticinteractions/uhim		1	globalbioticinteractions/uhim		5495	globalbioticinteractions/uhim
	351	globalbioticinteractions/unhc					351	globalbioticinteractions/unhc
	12687	globalbioticinteractions/unl-nsm		2453	globalbioticinteractions/unl-nsm		10234	globalbioticinteractions/unl-nsm
	165	globalbioticinteractions/usnmentflea		29	globalbioticinteractions/usnmentflea		136	globalbioticinteractions/usnmentflea
	2730	globalbioticinteractions/usnm-ixodes		35	globalbioticinteractions/usnm-ixodes		2695	globalbioticinteractions/usnm-ixodes
	6082	globalbioticinteractions/utah-piper		2618	globalbioticinteractions/utah-piper		3464	globalbioticinteractions/utah-piper
	650	globalbioticinteractions/uwsp-para		95	globalbioticinteractions/uwsp-para		555	globalbioticinteractions/uwsp-para
	165	globalbioticinteractions/vectorbase					165	globalbioticinteractions/vectorbase
	609	globalbioticinteractions/wis-ih-wirc		11	globalbioticinteractions/wis-ih-wirc		598	globalbioticinteractions/wis-ih-wirc
	143402	globalbioticinteractions/yale-peabody		181	globalbioticinteractions/yale-peabody		143221	globalbioticinteractions/yale-peabody
